,item_name,color_1,color_2,shape
0,acorn,brown,orange,round
1,airplane,orange,white,square
2,airplane1,orange,white,square
3,airplane2,purple,white,round
4,airplane3,green,white,square
5,airplane4,white,blue,round
6,airplane5,green,red,square
7,airplane6,purple,orange,square
8,airplane7,yellow,orange,square
9,anvil1,white,purple,rectangle
10,apple,orange,red,rectangle
11,apple1,green,orange,round
12,apple2,green,red,square
13,apple3,yellow,orange,round
14,apple4,yellow,orange,round
15,applepieslice,orange,brown,rectangle
16,astronauthelmet,orange,blue,round
17,axe,orange,blue,thin
18,axe1,purple,orange,round
19,backpack,brown,orange,round
20,backpack1,purple,green,rectangle
21,backpack2,red,orange,rectangle
22,backpack3,yellow,purple,rectangle
23,backpack4,yellow,orange,rectangle
24,backpack5,purple,red,rectangle
25,backpack6,red,orange,rectangle
26,backpack7,orange,yellow,rectangle
27,backpack8,green,orange,square
28,backpack9,blue,orange,rectangle
29,bacon,red,pink,rectangle
30,bag,orange,yellow,round
31,ball,yellow,orange,round
32,ball1,red,orange,round
33,ball2,blue,white,round
34,balloon,orange,yellow,round
35,balloon1,orange,yellow,round
36,balloon2,blue,brown,round
37,balloon3,purple,pink,round
38,balloon4,orange,red,round
39,balloon5,green,yellow,round
40,balloon6,yellow,orange,round
41,banana,yellow,orange,rectangle
42,barrelmetal1,orange,red,round
43,barrelmetal2,orange,blue,round
44,basket,yellow,blue,square
45,basket1,purple,pink,square
46,basket2,green,red,square
47,basket3,pink,purple,square
48,basket4,yellow,orange,rectangle
49,basket5,purple,yellow,rectangle
50,basket6,red,yellow,rectangle
51,basket7,orange,yellow,rectangle
52,basket8,green,orange,square
53,basketball,orange,red,round
54,battery,orange,red,round
55,bee1,yellow,black,round
56,beerhat1,orange,green,round
57,bell,yellow,orange,round
58,bicycle,orange,red,square
59,bighornedhelmet1,yellow,purple,round
60,binoculars1,yellow,blue,round
61,binoculars2,orange,yellow,round
62,binoculars3,yellow,orange,round
63,binoculars4,yellow,orange,round
64,birdtoy1,green,orange,square
65,birdtoy2,orange,red,round
66,birdtoy3,blue,orange,square
67,birdtoy4,purple,pink,square
68,biscuit,brown,white,round
69,boat,blue,orange,rectangle
70,bolognese,yellow,orange,round
71,bone,white,orange,rectangle
72,book,yellow,orange,rectangle
73,book1,purple,green,rectangle
74,book2,brown,orange,rectangle
75,book3,orange,red,rectangle
76,book4,yellow,green,rectangle
77,book5,purple,green,rectangle
78,book6,yellow,orange,rectangle
79,book7,orange,red,rectangle
80,boomerang,red,orange,round
81,bow,brown,orange,triangle
82,bread,orange,white,rectangle
83,broom,yellow,brown,square
84,bubble,orange,red,round
85,bubble1,blue,purple,round
86,bubble2,orange,red,round
87,bubble3,purple,blue,round
88,bubble4,green,yellow,round
89,bubble5,yellow,orange,round
90,bucket,blue,yellow,round
91,bunny,brown,orange,round
92,bunny1,white,brown,round
93,bunnyears,white,pink,round
94,but,blue,white,square
95,butterrfly,yellow,green,round
96,butterrfly1,purple,pink,round
97,butterrfly2,orange,brown,round
98,butterrfly3,purple,red,round
99,butterrfly4,purple,blue,round
100,cactushat,green,orange,spiky
101,cake,brown,red,square
102,cakeslice1,orange,yellow,rectangle
103,cakeslice2,pink,orange,rectangle
104,can,orange,red,round
105,can1,green,orange,round
106,can2,purple,red,round
107,can3,blue,purple,round
108,can4,yellow,orange,round
109,can5,orange,yellow,round
110,candy,yellow,white,round
111,candy1,pink,purple,round
112,candy10,pink,purple,round
113,candy11,pink,red,round
114,candy12,orange,blue,round
115,candy13,green,red,round
116,candy14,red,purple,round
117,candy15,orange,blue,round
118,candy16,orange,red,round
119,candy2,purple,red,round
120,candy3,green,orange,round
121,candy4,green,red,round
122,candy5,purple,pink,round
123,candy6,red,orange,round
124,candy7,orange,green,round
125,candy8,green,white,round
126,candy9,blue,purple,round
127,canon,orange,yellow,round
128,car,blue,orange,square
129,car1,red,orange,square
130,car2,yellow,orange,square
131,car3,green,orange,square
132,car4,pink,purple,square
133,car5,orange,yellow,square
134,carrot,orange,green,rectangle
135,cat,yellow,orange,rectangle
136,chair,yellow,orange,round
137,chair1,green,orange,round
138,chair2,pink,purple,round
139,chair3,green,purple,round
140,chair4,blue,yellow,round
141,chair5,red,orange,round
142,chair6,brown,blue,round
143,chair7,green,brown,round
144,chair8,orange,brown,round
145,chair9,purple,brown,round
146,cheese,yellow,orange,square
147,chefhat,white,blue,round
148,cherry,orange,red,round
149,chickenleg,brown,orange,round
150,chickennugget,orange,yellow,round
151,chip,yellow,orange,round
152,chocolatebar,orange,red,rectangle
153,chocolatedrink,orange,red,rectangle
154,chopperbutcherknife,orange,purple,square
155,cider,orange,green,rectangle
156,cinnamonroll,orange,yellow,round
157,cloud,white,blue,round
158,coffeemug,brown,black,round
159,compass,green,blue,round
160,cookie,orange,brown,round
161,corndog,yellow,orange,thin
162,cow,brown,pink,round
163,crocodiletoy,blue,red,rectangle
164,croissant,orange,brown,round
165,crown,yellow,orange,round
166,cup,white,green,round
167,cup1,pink,white,round
168,cup2,green,orange,round
169,cup3,red,orange,round
170,cup4,pink,red,round
171,cupcake,pink,red,round
172,cylinderhat1,blue,purple,square
173,darts,green,red,round
174,desk,yellow,orange,rectangle
175,detectivehat,orange,brown,round
176,diamond1,green,red,triangle
177,diamond2,blue,green,triangle
178,diamond3,pink,red,triangle
179,dice,white,red,round
180,dinosaur,green,purple,spiky
181,dinosauregg,yellow,orange,round
182,dinosauregg1,red,orange,round
183,dinosauregg2,blue,brown,round
184,dinosauregg3,green,yellow,round
185,dinosauregg4,purple,pink,round
186,dinosauregg5,blue,brown,round
